word,sentiment
excess,-0.857
piece,0.812
polar,-0.79
yoga,0.872
import,0.861
ruling,0.842
score,0.791
customer,0.839
divine,0.213
gods,0.811
moderator,0.951
depth,0.775
buyer,0.527
proceeding,-0.831
referring,0.816
mud,-0.919
workforce,0.865
closes,-0.878
scenic,0.816
defendant,-0.82
marsh,-0.208
wondering,0.999
arms,0.838
donor,-0.168
rocks,0.851
enterprises,0.949
mobile,0.176
formed,0.843
scripts,0.834
investors,0.846
intranet,0.83
requirement,0.479
follows,0.181
fishing,-0.212
objects,-0.883
harley,-0.798
fat,-0.563
aircraft,-0.955
silence,-0.853
trout,0.794
editors,0.789
forestry,-0.867
vinyl,-0.897
band,-0.94
complimentary,0.885
atomic,-0.212
diagnosis,0.817
fails,-0.94
lone,-0.329
favor,0.329
wave,0.83
decisions,0.215
carpet,0.66
direct,0.876
fresh,0.817
poor,-0.457
dealers,-0.883
workout,0.832
moisture,0.313
minimal,-0.169
virtue,0.301
gently,0.66
finding,-0.826
copy,0.879
interests,0.659
efforts,-0.301
instant,-0.823
forgot,-0.865
wages,0.852
develops,0.843
respect,0.659
correctly,0.894
changes,0.948
signal,0.884
alloy,0.849
invisible,-0.852
chat,0.216
including,0.13
radios,0.567
historical,0.877
doing,-0.855
cope,0.879
locks,-0.328
materials,0.108
nuke,-0.96
delivering,0.843
tear,-0.93
balloon,-0.748
pond,-0.767
refers,0.816
handled,0.537
donated,0.829
stylish,0.777
bin,-0.31
speeds,0.853
discipline,0.142
measuring,0.124
teeth,-0.827
lance,-0.869
clarity,0.955
start,-0.877
realtors,0.311
cruises,-0.804
caroline,0.66
focuses,0.66
accident,-0.8
switches,-0.902
smith,0.812
bicycle,0.227
wool,-0.146
sufficient,0.601
programming,0.83
block,-0.804
differ,-0.833
tons,0.839
noise,-0.148
shark,-0.46
preference,0.524
mistake,-0.288
emerald,0.843
lamp,-0.781
partner,0.549
fundamental,0.831
outputs,0.792
drilling,-0.818
overhead,-0.161
castle,0.898
pleasant,0.66
clark,0.271
commonwealth,0.222
paperbacks,0.84
carb,0.66
bother,-0.329
syndrome,-0.933
drinking,0.503
disclosure,-0.824
glow,0.926
advantage,0.785
sponsor,0.809
script,0.834
affected,-0.559
enquiries,0.161
ripe,0.981
pleasure,0.814
hardwood,-0.17
bacon,0.805
innocent,0.463
strength,0.85
pete,0.819
need,-0.22
stability,-0.849
spanish,-0.83
emphasis,-0.826
geological,0.806
reaches,0.792
leisure,0.897
strand,-0.803
generator,0.818
window,-0.223
different,-0.833
upgrades,0.857
motherboard,0.605
begins,-0.602
proceedings,-0.831
trouble,-0.66
hills,-0.863
bizarre,-0.207
container,0.994
approval,0.329
designed,0.215
orders,0.293
feeling,-0.378
winners,0.809
thing,-0.781
framing,-0.905
award,0.822
lip,0.218
dirty,-0.259
desired,0.659
mortgages,0.829
offense,-0.861
confirm,-0.875
cheaper,0.836
shine,0.174
courtesy,0.842
adam,-0.853
nut,0.804
allowed,0.839
rochester,-0.697
rider,0.831
frequency,0.159
composed,0.832
anna,-0.847
beyond,0.163
stones,0.811
perfect,0.832
world,-0.839
disagree,-0.329
edges,-0.789
married,0.814
satellite,0.849
arguments,-0.59
divorce,-0.965
butterfly,0.85
pursuit,0.991
output,0.792
rings,0.149
twenty,0.5
stripes,-0.703
clothes,-0.839
bradley,-0.784
peace,0.999
sodium,-0.195
single,0.152
pearl,-0.972
crystal,0.867
bennett,0.329
bridal,0.869
director,0.876
crafts,0.923
lift,0.789
answer,0.192
dose,-0.79
providence,-0.894
even,-0.955
stanley,0.837
annually,-0.847
feels,-0.378
infinite,0.886
marcus,0.875
mostly,0.164
nice,0.659
occupied,0.827
wall,0.795
explained,0.218
challenge,-0.768
chief,0.812
will,0.832
traveler,0.926
legends,0.863
angela,0.119
exports,0.88
mega,-0.81
dying,-0.947
absence,-0.433
cherry,0.165
encourage,0.66
terrace,0.881
spelling,-0.936
thanksgiving,0.894
contained,0.812
bind,-0.31
boundary,0.788
taste,0.582
infrastructure,0.623
lincoln,-0.946
flat,-0.798
sustainable,0.857
poly,-0.918
flowers,0.16
tubes,0.775
flashing,-0.794
primary,0.863
gather,-0.851
float,0.844
recovered,0.819
copyrights,0.879
specifies,0.863
planet,0.659
hydrogen,0.77
presents,0.828
diesel,-0.174
roller,0.763
standings,0.809
repeated,-0.861
main,0.887
game,0.287
beans,0.259
judges,-0.861
prospect,-0.837
chronic,-0.394
oasis,0.786
land,0.141
admitted,0.392
dedicated,0.819
cordless,0.999
requirements,0.479
emission,-0.883
broadcast,-0.772
argued,-0.426
mate,0.108
amendments,0.865
currency,0.304
configuring,0.132
bestsellers,0.827
condos,0.29
licenses,-0.259
narrow,-0.413
cliff,-0.768
weed,-0.799
cited,0.834
button,-0.231
possibly,0.306
cape,0.817
promises,0.878
bryan,0.767
wonderful,0.999
rarely,0.883
rising,0.803
fisheries,-0.793
harbour,-0.798
paid,0.89
compliance,0.329
healing,-0.831
easier,0.329
broadway,0.877
candidates,-0.273
aye,0.892
parcel,0.781
king,0.859
compound,0.844
greene,0.768
finder,-0.826
packages,0.966
confirmed,0.824
fragrance,0.178
grill,0.256
briefs,-0.899
lessons,0.887
member,-0.185
blast,-0.845
intervals,-0.893
occurring,-0.833
hide,-0.764
halo,0.205
lightweight,0.924
possession,0.861
partly,-0.797
placing,0.659
routers,0.214
adjustments,0.146
president,0.876
sunset,0.961
customize,0.811
flower,0.16
tags,-0.806
touch,-0.837
socks,-0.791
stronger,0.878
beaches,0.192
larger,0.877
mind,0.178
roman,0.867
challenged,-0.768
costs,-0.472
rope,0.833
danger,-0.812
monitoring,-0.793
feed,-0.378
fate,-0.563
therapy,0.201
solomon,0.797
changed,0.948
metallic,0.812
rare,0.883
grocery,0.099
dim,-0.817
senators,0.847
efficiency,0.237
trailer,0.831
modify,0.429
mastercard,0.843
badly,-0.659
useful,0.329
tar,-0.855
connect,0.65
enclosed,-0.313
awards,0.887
butter,-0.847
appraisal,0.361
burke,-0.851
smaller,-0.275
types,-0.845
florist,0.176
persistent,0.66
turtle,-0.839
sand,-0.896
habits,0.896
accessing,0.832
diving,0.213
proposed,-0.853
compliant,0.164
dx,-0.33
vendor,-0.66
vacuum,-0.81
lodging,-0.953
amazing,0.66
jets,0.163
involved,0.865
reward,0.815
rescue,0.847
eagle,0.116
cod,-0.806
screening,0.844
affiliate,0.885
care,0.66
exposure,-0.772
feeds,0.836
merchants,-0.795
packets,0.966
griffin,0.783
wedding,0.627
force,0.786
butts,-0.231
low,-0.653
skills,0.842
companion,0.836
response,0.33
automobile,0.838
walnut,0.154
bold,0.66
begin,-0.602
induced,0.774
majority,0.877
heart,0.874
supposed,0.2
tribunal,-0.835
extreme,0.97
retrieved,0.83
kitty,0.806
excellence,0.773
reseller,0.817
steel,0.797
swing,0.776
actual,0.329
educators,0.843
tricks,0.442
replied,0.107
rachel,0.835
fancy,0.779
proven,0.541
inquire,-0.857
pack,0.966
suffering,-0.66
belly,0.776
eternal,0.164
tobago,-0.841
helicopter,-0.98
trivia,0.26
decrease,-0.212
controversial,-0.947
suites,0.198
caught,-0.152
financial,0.543
kate,-0.814
chicks,-0.155
repairs,-0.82
memory,0.944
planning,0.659
quick,0.46
toward,0.978
protest,-0.799
funded,0.827
small,-0.275
graphical,0.207
tall,0.822
reported,-0.83
taxes,-0.843
manual,0.845
roses,0.231
transparent,-0.798
loss,-0.485
paint,-0.803
democrat,0.809
bool,-0.991
opposite,-0.475
colin,0.287
centres,0.764
hidden,-0.537
animated,0.789
manor,0.944
genuine,0.659
parade,0.788
mazda,0.476
die,-0.901
editorials,0.831
struck,-0.445
proof,-0.659
royalty,0.923
discuss,0.864
recall,0.839
highland,0.198
libraries,0.767
playing,0.659
chevrolet,0.513
vip,0.43
unfortunately,-0.329
custody,0.835
mission,0.979
finished,0.914
best,0.762
submissions,0.28
usage,-0.772
average,0.836
depends,-0.233
rendered,-0.793
backgrounds,-0.877
defining,-0.572
scores,0.791
observer,0.898
libs,0.875
shepherd,-0.786
unavailable,-0.952
income,0.861
cad,-0.513
baseline,0.232
markers,-0.178
intense,0.845
enemies,-0.933
barnes,-0.822
districts,-0.442
singles,0.152
rhythm,0.927
primarily,0.839
databases,0.977
freeze,-0.78
graduates,0.186
rush,-0.319
lauderdale,0.855
juice,0.236
programmer,0.153
sequences,0.807
results,0.85
booty,0.844
prefers,0.524
boxing,-0.778
shared,0.875
hughes,0.2
labeled,0.856
served,0.886
spec,0.801
humidity,0.298
informed,-0.843
brave,0.955
forget,-0.828
devoted,0.999
trade,0.781
governments,0.835
destroy,-0.946
scout,0.779
enterprise,0.949
readers,0.826
specially,0.91
favourite,0.194
export,0.88
offer,0.815
twins,0.853
memo,-0.185
unemployment,-0.855
bailey,0.842
loan,-0.791
physics,0.849
cuts,-0.784
recommended,0.862
merger,0.784
week,-0.829
hay,0.891
distances,-0.845
tutorials,0.762
regular,0.849
span,-0.83
weird,-0.849
extensive,0.863
fake,-0.794
placed,0.659
periodic,0.594
corn,-0.969
compression,0.319
abstracts,0.46
pipeline,0.964
generic,-0.816
grades,0.554
matches,0.108
taxi,0.122
reproduced,0.847
sail,-0.829
purple,0.863
effort,-0.301
perl,0.178
warrior,-0.836
lock,-0.328
closing,-0.776
rendering,-0.793
congressional,0.132
baby,0.858
sell,0.761
hairy,-0.791
triumph,0.999
beatles,0.839
secretariat,-0.835
pale,-0.156
cut,-0.792
grateful,0.802
descending,0.779
communicate,0.766
jet,0.163
kit,0.201
coupon,0.883
caring,0.66
attempted,0.841
telecom,0.839
obviously,-0.83
warren,-0.836
ring,0.149
petersburg,0.819
terrible,-0.659
imaging,0.903
happened,0.659
count,0.793
existence,0.828
walt,-0.844
maintenance,0.887
maximum,0.769
lies,-0.929
standards,0.174
daddy,0.883
rose,0.231
worker,0.813
harold,-0.798
club,0.756
editor,0.789
inclusive,0.197
plugin,0.625
polymer,-0.918
overseas,-0.161
sugar,0.853
disable,0.969
quite,-0.853
pharmacy,-0.218
task,-0.794
tub,0.775
intellectual,0.858
provide,0.87
newer,0.791
chronicles,-0.394
literacy,-0.913
wars,-0.836
chairman,0.87
pipes,-0.241
slim,0.982
visual,0.43
pioneer,0.829
camps,-0.221
concern,-0.945
converted,0.95
discussion,0.864
decide,0.192
berry,0.859
pour,0.144
cheers,0.659
superintendent,0.847
acquired,0.356
approaches,0.329
rolled,0.531
grant,0.748
moderate,0.951
frost,-0.769
rest,0.659
reservoir,0.837
charlie,0.66
ought,-0.89
drop,-0.406
rabbit,-0.865
pain,-0.803
trauma,-0.867
temperatures,0.814
cite,0.834
collected,0.329
founded,0.859
spare,0.829
rated,0.819
enhance,0.853
commentary,0.943
argue,-0.59
fares,0.181
packs,0.966
threats,-0.563
skill,0.842
mercedes,0.66
individually,0.874
fortune,0.329
reveals,0.799
professionals,0.844
chubby,-0.488
poker,-0.189
value,0.156
composer,0.832
arrivals,0.949
strategic,0.658
reduces,-0.861
claire,-0.846
benefits,0.594
lamb,-0.781
win,0.809
franklin,0.659
spirits,0.645
realized,0.872
dodge,-0.799
harvest,0.144
insured,0.868
rica,-0.82
community,0.645
live,0.337
nothing,-0.302
attached,-0.825
envelope,0.881
contemporary,0.789
syndicate,0.839
leading,0.807
happening,0.659
tony,0.839
fall,-0.419
separated,0.541
trap,0.192
originally,0.302
entrepreneur,0.878
copper,0.834
bibliography,0.608
penalty,-0.862
imports,0.861
inspector,-0.853
kits,0.201
structural,0.816
laughing,1.0
vaccine,0.8
marc,0.875
payable,-0.801
colony,0.841
german,-0.146
pointer,0.841
revised,0.89
levy,-0.23
registry,0.869
sweet,0.659
sleeps,-0.14
replica,-0.899
slight,-0.955
point,0.991
technician,0.769
cheats,-0.425
forecasts,0.884
providing,0.87
status,-0.961
purchasing,0.96
explorer,0.938
copyright,0.879
works,0.844
eventually,-0.955
bedding,0.867
yellow,-0.66
walter,-0.844
counts,0.793
surveillance,0.174
lambda,0.806
trends,0.691
remaining,0.887
flu,-0.131
vulnerable,-0.329
programs,0.554
separate,-0.241
plumbing,0.14
ignored,-0.279
indie,0.778
trust,0.659
markets,0.875
frequent,0.801
firm,0.887
cry,-0.66
entrance,0.201
increases,0.811
deliver,0.843
geometry,0.124
worry,-0.329
spread,0.643
survivor,0.825
beats,0.836
guidance,0.884
